nexus_stage,attack_id,technique_name,mitre_tactic,mapping_confidence,review_required,mapping_reason,linked_capec_patterns
LATERAL_MOVEMENT,T1091,Replication Through Removable Media,lateral-movement,REVIEW_REQUIRED,True,"Multi-tactic technique (lateral-movement, initial-access); stage depends on temporal network context (provisional: LATERAL_MOVEMENT)",CAPEC-457 (USB Memory Attacks)
RECONNAISSANCE,T1589,Gather Victim Identity Information,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-407 (Pretexting)
RECONNAISSANCE,T1589.001,Credentials,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-407 (Pretexting)
RECONNAISSANCE,T1589.002,Email Addresses,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-407 (Pretexting)
RECONNAISSANCE,T1589.003,Employee Names,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-407 (Pretexting)
RECONNAISSANCE,T1590,Gather Victim Network Information,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-309 (Network Topology Mapping)
RECONNAISSANCE,T1590.001,Domain Properties,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-309 (Network Topology Mapping)
RECONNAISSANCE,T1590.002,DNS,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-309 (Network Topology Mapping)
RECONNAISSANCE,T1590.003,Network Trust Dependencies,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-309 (Network Topology Mapping)
RECONNAISSANCE,T1590.004,Network Topology,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-309 (Network Topology Mapping)
RECONNAISSANCE,T1590.005,IP Addresses,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-309 (Network Topology Mapping)
RECONNAISSANCE,T1590.006,Network Security Appliances,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-309 (Network Topology Mapping)
RECONNAISSANCE,T1591,Gather Victim Org Information,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1591.001,Determine Physical Locations,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1591.002,Business Relationships,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1591.003,Identify Business Tempo,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1591.004,Identify Roles,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1592,Gather Victim Host Information,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-169 (Footprinting)
RECONNAISSANCE,T1592.001,Hardware,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-169 (Footprinting)
RECONNAISSANCE,T1592.002,Software,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-169 (Footprinting); CAPEC-541 (Application Fingerprinting)
RECONNAISSANCE,T1592.003,Firmware,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-169 (Footprinting)
RECONNAISSANCE,T1592.004,Client Configurations,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-169 (Footprinting)
RECONNAISSANCE,T1593,Search Open Websites/Domains,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1593.001,Social Media,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1593.002,Search Engines,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1593.003,Code Repositories,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1594,Search Victim-Owned Websites,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1595,Active Scanning,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-169 (Footprinting)
RECONNAISSANCE,T1595.001,Scanning IP Blocks,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-169 (Footprinting)
RECONNAISSANCE,T1595.002,Vulnerability Scanning,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-169 (Footprinting)
RECONNAISSANCE,T1595.003,Wordlist Scanning,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-169 (Footprinting)
RECONNAISSANCE,T1596,Search Open Technical Databases,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1596.001,DNS/Passive DNS,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1596.002,WHOIS,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1596.003,Digital Certificates,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1596.004,CDNs,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1596.005,Scan Databases,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1597,Search Closed Sources,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1597.001,Threat Intel Vendors,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1597.002,Purchase Technical Data,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1598.001,Spearphishing Service,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-98 (Phishing); CAPEC-163 (Spear Phishing)
RECONNAISSANCE,T1598.002,Spearphishing Attachment,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-98 (Phishing); CAPEC-163 (Spear Phishing)
RECONNAISSANCE,T1598.003,Spearphishing Link,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-98 (Phishing); CAPEC-163 (Spear Phishing)
RECONNAISSANCE,T1598.004,Spearphishing Voice,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,CAPEC-98 (Phishing)
RECONNAISSANCE,T1681,Search Threat Vendor Data,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
RECONNAISSANCE,T1682,Query Public AI Services,reconnaissance,HIGH,False,Direct conceptual alignment with pre-compromise reconnaissance,None Mapped
